"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1",1,"RT @UKMoments: Supernatural star @jensenackles is rallying the #SPNFamily to raise funds for those impacted by #HurricaneHarvey. https://t.…",FALSE,0,NA,"2017-09-04 23:59:57",FALSE,NA,904856593463902208,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cocklesstiel",21,TRUE,FALSE,NA,NA,"Impala 67","it","http://pbs.twimg.com/profile_images/907941743131275265/zvSue1kt_normal.jpg"
"2",2,"RT @terracecrawford: Thanks for your hard work, @JJWatt  #HurricaneHarvey https://t.co/lzGYWJyiNu",FALSE,0,NA,"2017-09-04 23:59:55",FALSE,NA,904856582432976896,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Threebirth",1,TRUE,FALSE,NA,NA,"nyc","en","http://pbs.twimg.com/profile_images/907964627539173377/tLVlBl6k_normal.jpg"
"3",3,"RT @DeptofDefense: As you're celebrating this #LaborDay, take a moment to remember the victims of #HurricaneHarvey &amp; the service members pr…",FALSE,0,NA,"2017-09-04 23:59:53",FALSE,NA,904856574707068928,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",1438,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"4",4,"RT @davidduchovny: We are donating all ticket and merch proceeds from my Oct. 14th Vancouver concert to #HurricaneHarvey. See you there htt…",FALSE,0,NA,"2017-09-04 23:59:53",FALSE,NA,904856573784330240,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",564,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"5",5,"RT @HoustonDynamo: Here for Houston.

$5 from every individual ticket to #HOUvCOL will go to #HurricaneHarvey relief: https://t.co/NXW0XFEb…",FALSE,0,NA,"2017-09-04 23:59:51",FALSE,NA,904856565743800320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeanRingrose",64,TRUE,FALSE,NA,NA,"Pearland, TX","en","http://pbs.twimg.com/profile_images/842879223370997760/1WV8WRG6_normal.jpg"
"6",6,"RT @abc13houston: JUST IN: Death toll from #HurricaneHarvey rises in #Houston area
Harris Co – 30
Montgomery Co – 5
Fort Bend Co – 2
Galves…",FALSE,0,NA,"2017-09-04 23:59:49",FALSE,NA,904856556017242112,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",186,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"7",7,"RT @kwilli1046: How Would Your Rate Trump's Leadership on #HurricaneHarvey?",FALSE,0,NA,"2017-09-04 23:59:47",FALSE,NA,904856551042592768,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BarbMuenchen",1087,TRUE,FALSE,NA,NA,"Trump twitter campaign Ohio","en","http://pbs.twimg.com/profile_images/823735522728247296/lcFclW0k_normal.jpg"
"8",10,"RT @Handbyhandorg: Saudi students out in the community supporting #Texans who were affected by #HurricaneHarvey. #HoustonStrong https://t.c…",FALSE,0,NA,"2017-09-04 23:59:45",FALSE,NA,904856540800327680,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Adi_Nm20",119,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/865913131356258306/renB734U_normal.jpg"
"9",11,"RT @StollmeyerEU: Ahem... @EPA &amp; @EPAScottPruitt can't even handle Harvey...

Let alone Harvey AND Irma. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>

#HurricaneIrma #HurricaneHarvey…",FALSE,0,NA,"2017-09-04 23:59:45",FALSE,NA,904856540523356160,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emelyechaucer",474,TRUE,FALSE,NA,NA,"Colorado, USA","en","http://pbs.twimg.com/profile_images/864210469971800065/8tNMq3Nu_normal.jpg"
"10",12,"https://t.co/n18Y8kYubl #HurricaneHarvey and the best ways to send help",FALSE,0,NA,"2017-09-04 23:59:43",FALSE,NA,904856533397274624,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","vquin96427",0,FALSE,FALSE,NA,NA,"New York","en","http://pbs.twimg.com/profile_images/797213437453447168/NzCWbAWn_normal.jpg"
"11",13,"RT @bestfriends: Want to help the animals of #HurricaneHarvey? Adopt or foster an animal from your local shelter to help make room for the…",FALSE,0,NA,"2017-09-04 23:59:43",FALSE,NA,904856531870601216,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OdinWallace",641,TRUE,FALSE,NA,NA,"Fargo, ND ","en","http://pbs.twimg.com/profile_images/495573306553036800/rJALkUj9_normal.jpeg"
"12",14,"RT @ThePopHub: Ariana Grande has donated $500,000 to the Houston Food Bank to help those affected by #HurricaneHarvey https://t.co/drBBDAkF…",FALSE,0,NA,"2017-09-04 23:59:42",FALSE,NA,904856529135915008,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",666,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"13",15,"RT @austinpetsalive: We’re partnering w/ @bestfriends + others to open an operation @ NRG Arena for #HurricaneHarvey animals. Learn more: h…",FALSE,0,NA,"2017-09-04 23:59:42",FALSE,NA,904856526799679488,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmilyMc_Pye",62,TRUE,FALSE,NA,NA,"Maryville, TN","en","http://pbs.twimg.com/profile_images/824771108511633410/RYUwf5wl_normal.jpg"
"14",16,"RT @WolfensPride: Prayers for all that lost loved ones #RIP <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>We won't forget you <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #HurricaneHarvey You won't be forgotten Blessings Love &amp;…",FALSE,0,NA,"2017-09-04 23:59:40",FALSE,NA,904856518595633152,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dawalf",224,TRUE,FALSE,NA,NA,"Florida, USA","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"15",17,"RT @austinpetsalive: If you are a shelter impacted by #HurricaneHarvey, get in touch to let us know what supplies you need - email harveyhe…",FALSE,0,NA,"2017-09-04 23:59:39",FALSE,NA,904856516385177600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Suemartin077",82,TRUE,FALSE,NA,NA,"Maryland, USA","en","http://pbs.twimg.com/profile_images/637362597159763968/WKe1HgmL_normal.jpg"
"16",18,"RT @derrickfury: After losing so much in #HurricaneHarvey the first movie I choose to watch is #Clerks. Thnx @ThatKevinSmith for helping us…",FALSE,0,NA,"2017-09-04 23:59:37",FALSE,NA,904856506465521664,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rainyislandgirl",8,TRUE,FALSE,NA,NA,"Nanaimo, B.C.","en","http://pbs.twimg.com/profile_images/500754763739578369/e1uOhHt3_normal.jpeg"
"17",19,"RT @GregAbbott_TX: Thanks to the National Guard for helping Texans respond to #HurricaneHarvey. Together we will rebuild. @TexasGuard https…",FALSE,0,NA,"2017-09-04 23:59:32",FALSE,NA,904856485913550848,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sigstarget",249,TRUE,FALSE,NA,NA,"Las Vegas","en","http://pbs.twimg.com/profile_images/791501500031705089/dVmkRn65_normal.jpg"
"18",20,"RT @PFANJ_IAFF: Yes, we do. #HurricaneHarvey https://t.co/ePLajBjZLE",FALSE,0,NA,"2017-09-04 23:59:30",FALSE,NA,904856477260754944,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JimAleski",3,TRUE,FALSE,NA,NA,"New Jersey, USA","en","http://pbs.twimg.com/profile_images/476889950244601856/j3sX1qfN_normal.jpeg"
"19",21,"RT @LindaKWS1: #HarveyRelief Dry pasture for #LiveStock #HurricaneHarvey https://t.co/mqyAsxFhDj",FALSE,0,NA,"2017-09-04 23:59:26",FALSE,NA,904856462744309760,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LindaKWS1",1,TRUE,FALSE,NA,NA,"Texas","en","http://pbs.twimg.com/profile_images/889964019691511808/-zgIUGkG_normal.jpg"
"20",22,"RT @RedRising11: <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> My @LearJetter &amp; I are #HoustonBound for #HarveyRelief from #Omaha #Nebraska with <U+2665><U+FE0F><U+203C><U+FE0F> #HurricaneHarvey #AMJoy #TexasSt…",FALSE,0,NA,"2017-09-04 23:59:26",FALSE,NA,904856461947404288,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SUTHERNYANKEE",95,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/906710328679043072/mWOGSAqY_normal.jpg"
"21",24,"RT @UgenesPolitics: The Weather Channel describes categories of hurricanes. #HurricaneHarvey is a Category 4. Holy crap. #prayfortexas http…",FALSE,0,NA,"2017-09-04 23:59:25",FALSE,NA,904856456280674304,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MoonlightMania",1404,TRUE,FALSE,NA,NA,"California","en","http://pbs.twimg.com/profile_images/821957243557941250/_um3O_R__normal.jpg"
"22",27,"#HurricaneHarvey donations can be sent I'm the form of <ed><U+00A0><U+00BD><ed><U+00B2><U+00B0> /supplies plz 2 Pastor Michael Gomez 2521 N. Marco Ave #B… https://t.co/Tgz4mDbTeT",FALSE,1,NA,"2017-09-04 23:59:24",TRUE,NA,904856452564738048,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","quarterkey777",0,FALSE,FALSE,NA,NA,"Odessa, TX","en","http://pbs.twimg.com/profile_images/808001968199307264/HAJ0no0x_normal.jpg"
"23",28,"RT @arkansasguard: #TaskForceArkansas named the first group of Arkansans to respond to #HurricaneHarvey ""Task Force Fireball."" They... http…",FALSE,0,NA,"2017-09-04 23:59:22",FALSE,NA,904856446524895232,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tubaguy08",1,TRUE,FALSE,NA,NA,"Harrison, AR","en","http://pbs.twimg.com/profile_images/881750420594585601/nX6dVKWV_normal.jpg"
"24",29,"RT @BBCBreaking: #HurricaneHarvey downgraded to Category 1 as it moves inland, with storm surge more than 6ft, 16in of rain fallen https://…",FALSE,0,NA,"2017-09-04 23:59:21",FALSE,NA,904856441319821312,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",506,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"25",30,"RT @FLOTUS: Spent today with the wonderful families helping each other after #HurricaneHarvey #Texas https://t.co/ia9696reLd",FALSE,0,NA,"2017-09-04 23:59:19",FALSE,NA,904856433841369088,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","auction20linda",9042,TRUE,FALSE,NA,NA,"jefferson wi","en","http://pbs.twimg.com/profile_images/665850969977184257/QIDlp8TA_normal.jpg"
"26",32,"RT @abc13houston: JUST IN: Death toll from #HurricaneHarvey rises in #Houston area
Harris Co – 30
Montgomery Co – 5
Fort Bend Co – 2
Galves…",FALSE,0,NA,"2017-09-04 23:59:15",FALSE,NA,904856414803386368,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhoGon_StopMeh",186,TRUE,FALSE,NA,NA,"HTX","en","http://pbs.twimg.com/profile_images/892497973820739584/4-7XFGh1_normal.jpg"
"27",34,"RT @mymixtapez: #HurricaneHarvey made landfall as a category 4 ...... Pray for Texas <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> https://t.co/9hMBmUqUUI",FALSE,0,NA,"2017-09-04 23:59:12",FALSE,NA,9.0485640113e+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",139,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"28",35,"RT @washingtonpost: Texas Gov. @GregAbbott_TX holds a briefing on #HurricaneHarvey. Follow updates at https://t.co/yKUvehoVlN https://t.co/…",FALSE,0,NA,"2017-09-04 23:59:11",FALSE,NA,904856400223928320,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",142,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"29",37,"RT @WolfensPride: Prayers for all that lost loved ones #RIP <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>We won't forget you <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #HurricaneHarvey You won't be forgotten Blessings Love &amp;…",FALSE,0,NA,"2017-09-04 23:59:11",FALSE,NA,904856399406125056,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stewysteinberg",224,TRUE,FALSE,NA,NA,"USA","en","http://pbs.twimg.com/profile_images/870268187757219840/W9mFinh7_normal.jpg"
"30",39,"RT @abc13houston: JUST IN: Death toll from #HurricaneHarvey rises in #Houston area
Harris Co – 30
Montgomery Co – 5
Fort Bend Co – 2
Galves…",FALSE,0,NA,"2017-09-04 23:59:11",FALSE,NA,904856398298832896,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrimeeTimee23",186,TRUE,FALSE,NA,NA,"Getting to the money ","en","http://pbs.twimg.com/profile_images/862858218288156674/GjIAVDIr_normal.jpg"
"31",40,"RT @LindaKWS1: #Rockport Tx, hit 1st #HurricaneHarvey #Harvey https://t.co/wcKe8lSvgH",FALSE,0,NA,"2017-09-04 23:59:09",FALSE,NA,904856392124784640,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LindaKWS1",1,TRUE,FALSE,NA,NA,"Texas","en","http://pbs.twimg.com/profile_images/889964019691511808/-zgIUGkG_normal.jpg"
"32",41,"RT @CDCgov: Take steps to protect yourself, your family, and your home following a flood. #HurricaneHarvey https://t.co/BJiK97cXrI https://…",FALSE,0,NA,"2017-09-04 23:59:03",FALSE,NA,904856365616824320,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","watergatesummer",31,TRUE,FALSE,NA,NA,"nyc","en","http://pbs.twimg.com/profile_images/1778779395/18502599839_3M4bj_normal.jpg"
"33",42,"RT @realDonaldTrump: THANK YOU to all of the great volunteers helping out with #HurricaneHarvey relief in Texas! https://t.co/Ds95oSgo8f",FALSE,0,NA,"2017-09-04 23:59:02",FALSE,NA,904856362588483584,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",17061,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"34",43,"Please retweet the tweet below.  He's donating food for #Houston dogs.  #HurricaneHarvey   #savethedogs. #dogs https://t.co/g6DylrivI7",FALSE,1,NA,"2017-09-04 23:59:01",FALSE,NA,904856355365937152,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoseHill111",0,FALSE,FALSE,NA,NA,"Best Place On The Planet","en","http://pbs.twimg.com/profile_images/656113713007718400/8KLuQSWZ_normal.jpg"
"35",44,"RT @TAMU: Aggie @VonMiller to give $100,000 to support #HurricaneHarvey relief efforts through @bthoharvey! https://t.co/qUidK4Y660 #BTHOha…",FALSE,0,NA,"2017-09-04 23:59:00",FALSE,NA,904856350743814144,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","brisesh",336,TRUE,FALSE,NA,NA,"texas","en","http://pbs.twimg.com/profile_images/610813450361540609/yVD1ozEc_normal.jpg"
"36",46,"RT @cnni: This is what South Texas looks like after #HurricaneHarvey hit https://t.co/uVtA3g0l2c https://t.co/mmbKXGHgS9",FALSE,0,NA,"2017-09-04 23:58:54",FALSE,NA,904856329378033664,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",177,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"37",47,"RT @DeptofDefense: As you're celebrating this #LaborDay, take a moment to remember the victims of #HurricaneHarvey &amp; the service members pr…",FALSE,0,NA,"2017-09-04 23:58:52",FALSE,NA,904856319647088640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mike_ainsworth",1438,TRUE,FALSE,NA,NA,"SLC DC SF, an airport near you","en","http://pbs.twimg.com/profile_images/2187616698/Mesquite_Marathon_PR_2011_normal.jpg"
"38",48,"RT @USATODAY: Here's what the USA TODAY Network's reporters are seeing from the ground during #HurricaneHarvey https://t.co/rHErXjRTEu",FALSE,0,NA,"2017-09-04 23:58:52",FALSE,NA,904856317633941504,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",49,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"39",52,"RT @FoxNews: Moments ago, @VP tweeted about those helping citizens get through #HurricaneHarvey. https://t.co/8nnZfNz0WU",FALSE,0,NA,"2017-09-04 23:58:47",FALSE,NA,904856298512150528,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MySavageWays",207,TRUE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/895843700722593792/WTu8cyuC_normal.jpg"
"40",53,"RT @WolfensPride: Prayers for all that lost loved ones #RIP <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>We won't forget you <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #HurricaneHarvey You won't be forgotten Blessings Love &amp;…",FALSE,0,NA,"2017-09-04 23:58:47",FALSE,NA,904856298096738304,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CherylBooone",224,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/890380102529306625/nepnGrPI_normal.jpg"
"41",54,"RT @DevannGuidryy: I lost everything in #HurricaneHarvey, but this probably the worst part <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>@KylieJenner @JeffreeStar https://t.co/JdmKz80…",FALSE,0,NA,"2017-09-04 23:58:45",FALSE,NA,904856288974209024,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alanagomez98",151,TRUE,FALSE,NA,NA,"Chicago","en","http://pbs.twimg.com/profile_images/887509800648626180/bxw-XR5l_normal.jpg"
"42",55,"RT @davidduchovny: We are donating all ticket and merch proceeds from my Oct. 14th Vancouver concert to #HurricaneHarvey. See you there htt…",FALSE,0,NA,"2017-09-04 23:58:44",FALSE,NA,904856283433492480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ployJD",564,TRUE,FALSE,NA,NA,"Thailand","en","http://pbs.twimg.com/profile_images/895855895560691714/65xmJMKz_normal.jpg"
"43",56,"RT @verizon: Verizon customers in #SouthTexas, our data relief services have been extended through 9/15. #HurricaneHarvey https://t.co/AsNf…",FALSE,0,NA,"2017-09-04 23:58:43",FALSE,NA,904856280875053056,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fawnthebug",605,TRUE,FALSE,NA,NA,"Houston, TX","en","http://pbs.twimg.com/profile_images/903795861452414976/Etmo3xwG_normal.jpg"
"44",57,"RT @WolfensPride: Prayers for all that lost loved ones #RIP <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>We won't forget you <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #HurricaneHarvey You won't be forgotten Blessings Love &amp;…",FALSE,0,NA,"2017-09-04 23:58:40",FALSE,NA,904856268468248576,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Schekkky",224,TRUE,FALSE,NA,NA," Boise, ID","en","http://pbs.twimg.com/profile_images/378800000270364156/19ca2de915460f8a58446ff705e03d03_normal.jpeg"
"45",58,"RT @airhasiescardo: Prayers for #HurricaneHarvey and now #HurricaneIrma Victims! <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/BlICsQqXd8",FALSE,0,NA,"2017-09-04 23:58:35",FALSE,NA,904856249040326656,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BonnieD87703006",1,TRUE,FALSE,NA,NA,"Newport News, VA","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"46",59,"RT @RealSaavedra: MONEY PLEDGED TO #HURRICANEHARVEY VICTIMS (AS OF 08/31/17):

Trumps- $1,000,000

Obamas- $0

Bushs- $0

Clintons- $0",FALSE,0,NA,"2017-09-04 23:58:33",FALSE,NA,904856238395154432,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KevinPHutchins2",4394,TRUE,FALSE,NA,NA,"Florida Georgia Man","en","http://pbs.twimg.com/profile_images/899030039055880193/YbfZY05z_normal.jpg"
"47",60,"RT @GregAbbott_TX: Price gouging of those affected by #HurricaneHarvey is un-Texan &amp; will be vigorously prosecuted. #txlege https://t.co/jR…",FALSE,0,NA,"2017-09-04 23:58:31",FALSE,NA,904856230560231424,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terrboz",424,TRUE,FALSE,NA,NA,"Pennsylvania, USA","en","http://pbs.twimg.com/profile_images/378800000513285143/127eb53aca712211e193ed7d86e18bc5_normal.jpeg"
"48",61,"RT @HoustonDynamo: Here for Houston.

$5 from every individual ticket to #HOUvCOL will go to #HurricaneHarvey relief: https://t.co/NXW0XFEb…",FALSE,0,NA,"2017-09-04 23:58:29",FALSE,NA,904856221257261056,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZiggyTermite",64,TRUE,FALSE,NA,NA,"Houston, TX","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"49",62,"RT @ToastyCritic: #HurricaneHarvey has many #lessons. As #parents we need to talk to our kids. Here are five ways to get them to help.
http…",FALSE,0,NA,"2017-09-04 23:58:24",FALSE,NA,904856199635636224,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kittyscloset56",22,TRUE,FALSE,NA,NA,"Chicago, IL","en","http://pbs.twimg.com/profile_images/852809798894600193/JBk4vNV5_normal.jpg"
"50",63,"RT @StollmeyerEU: Ahem... @EPA &amp; @EPAScottPruitt can't even handle Harvey...

Let alone Harvey AND Irma. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>

#HurricaneIrma #HurricaneHarvey…",FALSE,0,NA,"2017-09-04 23:58:21",FALSE,NA,904856186884943872,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ryl5858",474,TRUE,FALSE,NA,NA,"PA","en","http://pbs.twimg.com/profile_images/662700580767268864/cnmw9zbh_normal.jpg"
"51",66,"RT @abc13houston: JUST IN: Death toll from #HurricaneHarvey rises in #Houston area
Harris Co – 30
Montgomery Co – 5
Fort Bend Co – 2
Galves…",FALSE,0,NA,"2017-09-04 23:58:16",FALSE,NA,904856167037448192,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","hexogennotsugar",186,TRUE,FALSE,NA,NA,"Texas","en","http://pbs.twimg.com/profile_images/861413503881445376/ucXyO50J_normal.jpg"
"52",68,"RT @DeptofDefense: As you're celebrating this #LaborDay, take a moment to remember the victims of #HurricaneHarvey &amp; the service members pr…",FALSE,0,NA,"2017-09-04 23:58:09",FALSE,NA,904856138729979904,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CafeGirlsPress",1438,TRUE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/422207771975512065/k72miZlv_normal.jpeg"
"53",71,"RT @WolfensPride: Prayers for all that lost loved ones #RIP <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>We won't forget you <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #HurricaneHarvey You won't be forgotten Blessings Love &amp;…",FALSE,0,NA,"2017-09-04 23:58:01",FALSE,NA,904856104504623104,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNRKentucky",224,TRUE,FALSE,NA,NA,"Bluegrass State","en","http://pbs.twimg.com/profile_images/619218620267237376/vLczVpr6_normal.jpg"
"54",73,"RT @austinpetsalive: If you are looking for a lost #HurricaneHarvey pet or have found a lost animal, here is a list of resources to use: ht…",FALSE,0,NA,"2017-09-04 23:57:57",FALSE,NA,904856087756713984,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeriRuth",584,TRUE,FALSE,NA,NA,"New Jersey, USA","en","http://pbs.twimg.com/profile_images/898890392401317888/3b4pRU63_normal.jpg"
"55",75,"RT @StollmeyerEU: Ahem... @EPA &amp; @EPAScottPruitt can't even handle Harvey...

Let alone Harvey AND Irma. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>

#HurricaneIrma #HurricaneHarvey…",FALSE,0,NA,"2017-09-04 23:57:56",FALSE,NA,904856084577304576,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarah_ca1831",474,TRUE,FALSE,NA,NA,"Southern California","en","http://pbs.twimg.com/profile_images/906250075550007296/ryxH8kmE_normal.jpg"
"56",76,"Pirate Ship Ride at Castaway  Cove #jnj @donateaphoto #HurricaneHarvey https://t.co/MBI30zdY94 https://t.co/dzuGGuQ4ug",FALSE,1,NA,"2017-09-04 23:57:52",FALSE,NA,904856067636690944,NA,"<a href=""http://www.donateaphoto.com"" rel=""nofollow"">Donate a Photo</a>","BearmanShannon",1,FALSE,FALSE,NA,NA,"Bryn Mawr, PA","en","http://pbs.twimg.com/profile_images/874347221084323841/EiRy8ijQ_normal.jpg"
